iteration,A,B,C
1,1,2,1
2,0,2,1
3,2,1,3
4,1,2,1
5,0,1,2
6,1,3,0
7,1,3,2
8,0,1,1
9,2,3,2
10,2,0,3
11,0,1,0
12,0,2,2
13,2,0,3
14,1,2,2
15,3,1,1
16,1,1,0
17,1,2,2
18,1,0,1
19,2,2,3
20,2,1,0
21,3,0,0
22,0,2,1
23,1,3,0
24,2,1,0
25,0,2,0
26,2,2,2
27,0,1,0
28,3,3,0
29,2,1,1
30,3,2,1
31,3,0,0
32,2,0,3
33,2,0,0
34,1,3,3
35,0,3,2
36,0,1,3
37,3,3,3
38,3,1,1
39,1,1,3
40,1,0,0
41,0,1,2
42,1,3,0
43,2,2,2
44,1,3,2
45,2,1,3
46,0,1,1
47,0,2,1
48,3,3,1
49,3,3,0
50,0,3,1
51,2,2,2
52,3,3,0
53,0,3,2
54,3,2,1
55,3,3,1
56,1,1,3
57,3,2,2
58,0,3,3
59,2,1,1
60,3,1,0
61,3,2,1
62,0,0,2
63,1,0,3
64,3,3,3
65,3,1,1
66,0,3,2
67,0,0,3
68,3,3,2
69,2,1,0
70,3,0,2
71,1,2,2
72,2,1,0
73,0,1,3
74,3,2,0
75,3,0,2
76,2,3,0
77,1,0,0
78,0,1,1
79,2,1,2
80,1,0,0
81,0,3,1
82,0,2,2
83,1,2,1
84,1,3,2
85,2,3,3
86,0,0,0
87,1,3,2
88,3,2,2
89,3,0,1
90,0,3,0
91,0,0,3
92,0,0,2
93,1,1,1
94,2,3,2
95,3,3,3
96,0,2,2
97,1,2,1
98,0,3,1
99,3,2,2
100,3,0,2
101,2,0,3
102,0,0,2
103,0,1,3
104,1,0,0
105,1,1,3
106,2,0,1
107,0,0,2
108,2,1,3
109,1,2,1
110,1,3,1
111,1,2,1
112,1,3,3
113,1,3,2
114,1,2,1
115,0,1,2
116,2,2,2
117,0,2,1
118,0,3,2
119,3,0,3
120,0,0,3
121,0,3,3
122,3,3,3
123,0,3,1
124,1,2,3
125,1,0,2
126,3,1,3
127,2,0,2
128,3,1,1
129,2,0,2
130,3,2,3
131,1,3,3
132,1,0,3
133,0,1,2
134,1,3,2
135,3,0,2
136,2,0,1
137,2,0,0
138,2,0,0
139,0,2,3
140,1,1,0
141,1,0,1
142,0,3,0
143,0,2,2
144,3,2,2
