iteration,A,B,C
1,1,3,3,2
2,1,2,1,2
3,1,3,0,0
4,3,3,1,1
5,1,0,3,1
6,1,2,3,0
7,3,3,3,0
8,2,2,3,0
9,1,3,1,0
10,1,2,1,0
11,1,2,3,2
12,2,3,1,0
13,3,0,3,2
14,2,0,0,2
15,1,0,0,0
16,3,0,3,1
17,3,3,1,0
18,3,0,3,2
19,3,0,1,0
20,3,2,0,0
21,3,2,1,1
22,3,0,3,0
23,3,0,1,2
24,2,0,0,0
25,2,2,3,1
26,1,2,3,1
27,2,2,3,0
28,3,2,0,1
29,3,3,1,0
30,1,0,3,2
31,2,2,0,1
32,2,3,1,2
33,1,2,0,2
34,2,2,1,1
35,2,0,0,2
36,1,0,0,0
37,1,3,0,1
38,1,3,1,0
39,1,0,0,2
40,3,0,0,1
41,2,2,0,2
42,2,0,1,0
43,1,0,3,1
44,3,3,0,0
45,3,0,0,1
46,3,2,3,2
47,2,0,3,2
48,3,0,3,0
49,2,3,1,2
50,2,3,0,0
51,3,3,1,0
52,2,0,1,0
53,3,3,1,0
54,3,0,3,1
55,2,0,0,2
56,3,0,1,0
57,1,3,1,2
58,2,0,1,2
59,2,0,3,0
60,1,0,1,1
61,3,2,1,0
62,1,3,3,2
63,1,2,3,0
64,3,2,1,1
65,1,0,1,1
66,1,3,1,1
67,2,0,3,1
68,2,3,1,1
69,2,0,0,2
70,3,2,0,0
71,2,3,3,1
72,3,3,3,1
73,3,0,0,1
74,3,3,3,1
75,1,0,0,1
76,3,3,3,0
77,2,3,1,0
78,1,0,0,0
79,1,0,0,1
80,1,0,1,2
81,1,2,3,1
82,1,0,0,2
83,2,0,3,2
84,3,2,1,2
85,1,3,3,0
86,2,2,0,1
87,2,2,0,1
88,2,2,3,2
89,3,0,0,0
90,2,0,0,1
91,2,3,3,1
92,2,2,3,1
93,2,3,0,2
94,3,0,3,0
95,2,0,1,0
96,2,3,1,1
97,2,2,1,2
98,1,0,3,2
99,3,3,3,0
100,3,3,1,2
